                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.63019,                 0.9081,                 1.0894,                0.74816,                0.84474,                0.84573,                0.72032,                0.58545,                0.79347,                 1.0325,             0.00033934,             0.00033934,             0.00033934
                     61,                0.63657,                0.88448,                 1.0877,                0.77696,                 0.8209,                0.83065,                0.71998,                0.55237,                0.80034,                 1.0219,             0.00033698,             0.00033698,             0.00033698
                     62,                0.62291,                0.86711,                 1.0856,                0.76635,                0.84868,                0.84295,                0.72002,                0.57316,                0.78006,                  1.033,             0.00033463,             0.00033463,             0.00033463
                     63,                0.62448,                0.86776,                 1.0938,                0.78512,                0.83402,                0.83968,                 0.7169,                0.57729,                0.78099,                 1.0357,             0.00033227,             0.00033227,             0.00033227
                     64,                0.62924,                  0.891,                 1.0915,                0.80535,                0.83091,                0.85367,                0.72952,                0.61324,                0.78634,                 1.0656,             0.00032992,             0.00032992,             0.00032992
                     65,                0.61724,                 0.8727,                 1.0776,                0.80774,                0.84577,                0.85786,                 0.7318,                0.58394,                0.79621,                 1.0334,             0.00032756,             0.00032756,             0.00032756
                     66,                0.60145,                0.84399,                 1.0799,                0.76263,                0.84138,                0.84015,                 0.7306,                0.55918,                0.80348,                 1.0227,              0.0003252,              0.0003252,              0.0003252
                     67,                0.60549,                0.84805,                 1.0811,                 0.7972,                0.83962,                0.84895,                0.72843,                0.54935,                 0.7765,                 1.0205,             0.00032285,             0.00032285,             0.00032285
                     68,                0.60631,                0.83084,                  1.075,                0.78221,                0.83975,                0.86055,                0.74383,                 0.5687,                0.77757,                  1.029,             0.00032049,             0.00032049,             0.00032049
                     69,                0.60279,                0.83488,                 1.0754,                0.77229,                0.87427,                0.86557,                0.74616,                0.56404,                 0.7606,                 1.0217,             0.00031813,             0.00031813,             0.00031813
                     70,                0.61613,                0.84798,                 1.0802,                0.78873,                0.84073,                  0.862,                0.73916,                0.57013,                0.77216,                 1.0248,             0.00031578,             0.00031578,             0.00031578
                     71,                0.59472,                0.83591,                 1.0744,                0.79104,                0.83407,                0.85635,                0.73072,                0.58156,                0.77056,                 1.0319,             0.00031342,             0.00031342,             0.00031342
                     72,                0.59271,                0.81534,                 1.0665,                0.73774,                0.86693,                0.84713,                 0.7358,                0.55594,                0.78315,                 1.0162,             0.00031107,             0.00031107,             0.00031107
                     73,                 0.5992,                0.80997,                 1.0709,                0.77046,                0.84986,                 0.8475,                0.72819,                0.56053,                0.78145,                 1.0282,             0.00030871,             0.00030871,             0.00030871
