                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.0684,                0.64323,                 1.3234,                0.94514,                0.96631,                0.96956,                0.63352,                 1.2406,                0.50562,                 1.4734,             0.00075932,             0.00075932,             0.00075932
                    113,                 1.0616,                 0.6302,                 1.3208,                0.94577,                0.95672,                0.96579,                0.63293,                 1.2312,                0.50536,                 1.4881,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.0793,                 0.6341,                 1.3301,                0.94761,                0.95765,                 0.9682,                0.63123,                 1.2575,                0.50305,                 1.4755,             0.00074282,             0.00074282,             0.00074282
                    115,                 1.0686,                0.62635,                  1.319,                0.95137,                0.96054,                 0.9681,                0.62694,                 1.2477,                0.51176,                 1.4713,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.0672,                0.63359,                 1.3218,                0.94645,                0.95259,                0.97125,                 0.6416,                 1.2362,                0.49077,                 1.4828,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.0583,                0.61878,                 1.3131,                0.95349,                0.95861,                0.96723,                0.63777,                 1.2334,                 0.4868,                 1.4874,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.0567,                0.63002,                 1.3158,                0.94962,                0.96141,                0.96786,                 0.6312,                 1.2372,                 0.4994,                 1.4745,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.0577,                0.62149,                 1.3066,                0.96237,                0.96002,                0.97094,                 0.6392,                 1.2344,                0.48732,                 1.4708,             0.00070156,             0.00070156,             0.00070156
                    120,                 1.0408,                0.60171,                 1.2879,                0.94452,                0.95861,                0.97089,                0.64046,                 1.2483,                0.49456,                 1.4861,             0.00069331,             0.00069331,             0.00069331
                    121,                 1.0503,                0.62354,                 1.3066,                0.95132,                0.96054,                0.96961,                0.63228,                 1.2587,                0.49326,                 1.4921,             0.00068505,             0.00068505,             0.00068505
                    122,                 1.0482,                0.61475,                 1.3069,                0.94642,                0.96824,                 0.9696,                 0.6375,                 1.2494,                0.48508,                 1.4735,              0.0006768,              0.0006768,              0.0006768
                    123,                 1.0531,                0.60882,                 1.2999,                0.95318,                 0.9601,                0.96945,                0.62825,                 1.2545,                0.49578,                 1.4818,             0.00066855,             0.00066855,             0.00066855
                    124,                 1.0448,                0.59872,                 1.2999,                0.95177,                0.95765,                0.96921,                0.63079,                 1.2545,                0.49801,                 1.4816,              0.0006603,              0.0006603,              0.0006603
                    125,                 1.0298,                0.59952,                 1.2991,                0.94866,                0.96029,                0.96876,                0.63024,                 1.2524,                0.49104,                 1.4993,             0.00065205,             0.00065205,             0.00065205
                    126,                 1.0457,                0.62165,                 1.3028,                0.95214,                0.95733,                0.97075,                0.62855,                 1.2571,                 0.4897,                 1.4893,              0.0006438,              0.0006438,              0.0006438
                    127,                 1.0334,                0.60769,                 1.2891,                0.95302,                0.95958,                 0.9721,                0.63419,                  1.251,                0.48956,                 1.4857,             0.00063554,             0.00063554,             0.00063554
                    128,                 1.0325,                0.59757,                 1.2963,                0.94957,                0.95958,                0.96895,                0.63589,                 1.2459,                 0.4826,                 1.4955,             0.00062729,             0.00062729,             0.00062729
                    129,                  1.043,                0.60946,                 1.3046,                0.95521,                0.95765,                0.97428,                0.63678,                 1.2597,                 0.4938,                 1.5051,             0.00061904,             0.00061904,             0.00061904
                    130,                 1.0169,                 0.6009,                 1.2898,                0.94631,                0.96693,                0.97329,                0.63824,                 1.2436,                0.48019,                 1.5205,             0.00061079,             0.00061079,             0.00061079
                    131,                 1.0292,                0.60467,                 1.2978,                0.95322,                0.96343,                0.97078,                0.63668,                 1.2458,                0.48167,                 1.4941,             0.00060254,             0.00060254,             0.00060254
                    132,                 1.0213,                0.59594,                 1.2891,                0.95413,                0.96101,                0.97016,                0.64081,                 1.2463,                0.48341,                 1.4928,             0.00059429,             0.00059429,             0.00059429
                    133,                 1.0269,                0.59843,                 1.2921,                0.95044,                0.96631,                0.97294,                0.63929,                 1.2476,                0.48002,                 1.5047,             0.00058603,             0.00058603,             0.00058603
